,Crack_Spread,Crack_Z_Score,Basket_Return,SPY_Return,Rolling_Beta,Beta_Hedged_Return,VLO_Hedged_Return,MPC_Hedged_Return,PSX_Hedged_Return,DINO_Hedged_Return,PBF_Hedged_Return,DK_Hedged_Return,CVI_Hedged_Return
2021-11-23,20.321797847747803,0.40261615816986446,0.03160124616482126,0.0013259941986774049,0.9824974440432329,0.030298460253804557,0.025723400069147653,0.03362580520709043,0.021837006848467844,0.04181401045657996,0.03673262628043288,0.037707841065431874,0.041969656193536826
2021-11-24,19.923599243164062,0.3042292764529295,0.00869029512865006,0.00266985624101701,1.018331735590786,0.005971495788957316,0.003068613595696233,0.00806621260225004,-0.001306153422813735,0.017143932535801085,0.005724897939294163,0.02855000420838641,0.0017237846842009185
2021-11-26,17.99620246887207,-0.15245442940777648,-0.06465424633423693,-0.022303172218498646,1.0247928517576121,-0.04179811487320055,-0.04719229200027154,-0.025152856940017787,-0.047231270587946045,-0.04032774042134303,-0.05822856847312651,-0.04316500934580913,-0.05603114116121247
2021-11-29,18.338205337524414,-0.08199216441764745,0.006144288133270925,0.012266607551340236,1.3115341723333478,-0.009943786848914086,-0.012913538255932928,-0.008573526905232276,-0.003519801053006111,-0.009402012520914514,-0.013634024344690163,-0.026608178800346705,-0.01479517772055922
2021-11-30,18.156002044677734,-0.1349809897491521,-0.008999485923767052,-0.019457616070086114,1.2701460798921065,0.01571452885169848,0.005056952325615108,0.008949042411024392,0.009346197462166375,0.03736873171539083,0.054463908435262144,0.053192983964070184,0.015135260209826227
2021-12-01,18.1402006149292,-0.14843714160867794,-0.0009151974732969192,-0.011107203410551714,1.1937587230218523,0.012344123486427258,0.018452208457282387,0.014237318503912189,0.0032130982645085116,0.015952365513981666,-0.0042465874771527405,0.028060515513929987,0.011650684535289146
2021-12-02,18.04320001602173,-0.18137460861630378,0.04609448950196134,0.015316301657013032,1.1710907967153803,0.028157709591716852,0.04005316780524539,0.02190115467630434,0.02532524235402825,0.015015429953111035,0.04496097805697519,0.02167470422149626,0.03008982547175367
2021-12-03,17.798800945281982,-0.2510928105108556,-0.025307549675585926,-0.008701312903057756,1.2572174774562472,-0.014368107017046158,-0.009565208078267592,-0.015510691316615012,-0.010606386477343625,-0.02843163655951908,-0.014723561781341103,-0.02328646100925716,-0.014077415070155619
2021-12-06,18.119200229644775,-0.18364561384593994,0.021027038755059704,0.01184331295081531,1.2917502712387214,0.005728436038478965,-0.0051512126916554695,0.004238867697031759,0.0031294256047722166,0.022184968019721807,0.026267620715756296,0.027496165596206015,0.005349595367430765
2021-12-07,17.894395351409912,-0.25215750088217764,0.018026514347649833,0.020684823247291373,1.311319240862933,-0.00909789237037224,-0.009106064827211192,-0.004753877079733664,-0.0015841930244121193,-0.023475221780636154,-0.04435435973121019,-0.01678747673966579,0.003355107281488398
